日付,銘柄名,コード,業種,TOPIXに占める個別銘柄のウエイト,ニューインデックス区分
20260430,電算システムホールディングス,4072,情報・通信業,0.0024%,TOPIX Small 2
20260430,堺化学工業,4078,化学,0.0055%,TOPIX Small 1
20260430,第一稀元素化学工業,4082,化学,0.0044%,TOPIX Small 2
20260430,エア・ウォーター,4088,化学,0.0400%,TOPIX Mid400
20260430,日本酸素ホールディングス,4091,化学,0.1199%,TOPIX Mid400
20260430,日本化学工業,4092,化学,0.0026%,TOPIX Small 2
20260430,日本パーカライジング,4095,化学,0.0137%,TOPIX Small 1
20260430,高圧ガス工業,4097,化学,0.0031%,TOPIX Small 2
20260430,四国化成ホールディングス,4099,化学,0.0109%,TOPIX Small 2
20260430,オリオンビール,409A,食料品,0.0055%,TOPIX Small 2
20260430,戸田工業,4100,化学,0.0006%,TOPIX Small 2
20260430,ステラ　ケミファ,4109,化学,0.0055%,TOPIX Small 1
20260430,保土谷化学工業,4112,化学,0.0030%,TOPIX Small 2
20260430,日本触媒,4114,化学,0.0254%,TOPIX Mid400
20260430,大日精化工業,4116,化学,0.0055%,TOPIX Small 2
20260430,カネカ,4118,化学,0.0220%,TOPIX Mid400
20260430,協和キリン,4151,医薬品,0.0532%,TOPIX Mid400
20260430,ブルーゾーンホールディングス,417A,小売業,0.0209%,TOPIX Mid400
20260430,Ａｐｐｉｅｒ　Ｇｒｏｕｐ,4180,情報・通信業,0.0065%,TOPIX Small 1
20260430,三菱瓦斯化学,4182,化学,0.0598%,TOPIX Mid400
20260430,三井化学,4183,化学,0.0652%,TOPIX Mid400
20260430,東京応化工業,4186,化学,0.0829%,TOPIX Mid400
20260430,大阪有機化学工業,4187,化学,0.0075%,TOPIX Small 1
20260430,三菱ケミカルグループ,4188,化学,0.1219%,TOPIX Large70
20260430,ＫＨネオケム,4189,化学,0.0088%,TOPIX Small 1
20260430,ビジョナル,4194,情報・通信業,0.0191%,TOPIX Mid400
20260430,ダイセル,4202,化学,0.0258%,TOPIX Mid400
20260430,住友ベークライト,4203,化学,0.0346%,TOPIX Mid400
20260430,積水化学工業,4204,化学,0.0946%,TOPIX Mid400
20260430,日本ゼオン,4205,化学,0.0245%,TOPIX Mid400
20260430,アイカ工業,4206,化学,0.0170%,TOPIX Mid400
20260430,ＵＢＥ,4208,化学,0.0233%,TOPIX Mid400
20260430,積水樹脂,4212,化学,0.0048%,TOPIX Small 1
20260430,旭有機材,4216,化学,0.0073%,TOPIX Small 1
20260430,ニチバン,4218,化学,0.0022%,TOPIX Small 2
20260430,リケンテクノス,4220,化学,0.0055%,TOPIX Small 2
20260430,大倉工業,4221,化学,0.0048%,TOPIX Small 2
20260430,積水化成品工業,4228,化学,0.0014%,TOPIX Small 2
20260430,群栄化学工業,4229,化学,0.0023%,TOPIX Small 2
20260430,ダイキョーニシカワ,4246,化学,0.0035%,TOPIX Small 2
20260430,森六,4249,化学,0.0025%,TOPIX Small 2
20260430,恵和,4251,化学,0.0015%,TOPIX Small 2
20260430,日本化薬,4272,化学,0.0237%,TOPIX Mid400
20260430,カーリット,4275,化学,0.0045%,TOPIX Small 2
20260430,ＣＬホールディングス,4286,サービス業,0.0007%,TOPIX Small 2
20260430,プレステージ・インターナショナル,4290,サービス業,0.0048%,TOPIX Small 1
20260430,ハイマックス,4299,情報・通信業,0.0006%,TOPIX Small 2
20260430,テクセンドフォトマスク,429A,その他製品,0.0289%,TOPIX Small 2
20260430,アミューズ,4301,サービス業,0.0021%,TOPIX Small 2
20260430,野村総合研究所,4307,情報・通信業,0.1547%,TOPIX Large70
20260430,ドリームインキュベータ,4310,サービス業,0.0015%,TOPIX Small 2
20260430,クイック,4318,サービス業,0.0041%,TOPIX Small 2
20260430,日本システム技術,4323,情報・通信業,0.0034%,TOPIX Small 2
20260430,電通グループ,4324,サービス業,0.0567%,TOPIX Mid400
20260430,インテージホールディングス,4326,情報・通信業,0.0024%,TOPIX Small 2
20260430,テイクアンドギヴ・ニーズ,4331,サービス業,0.0006%,TOPIX Small 2
20260430,ぴあ,4337,サービス業,0.0031%,TOPIX Small 2
20260430,イオンファンタジー,4343,サービス業,0.0022%,TOPIX Small 2
20260430,ソースネクスト,4344,情報・通信業,0.0012%,TOPIX Small 2
20260430,シーティーエス,4345,サービス業,0.0021%,TOPIX Small 2
20260430,メディカルシステムネットワーク,4350,小売業,0.0010%,TOPIX Small 2
20260430,日本精化,4362,化学,0.0030%,TOPIX Small 2
20260430,扶桑化学工業,4368,化学,0.0198%,TOPIX Small 1
20260430,トリケミカル研究所,4369,化学,0.0074%,TOPIX Small 1
20260430,シンプレクス・ホールディングス,4373,情報・通信業,0.0134%,TOPIX Small 1
20260430,ＨＥＲＯＺ,4382,情報・通信業,0.0006%,TOPIX Small 2
20260430,ラクスル,4384,情報・通信業,0.0025%,TOPIX Small 1
20260430,メルカリ,4385,情報・通信業,0.0311%,TOPIX Mid400
20260430,アイ・ピー・エス,4390,情報・通信業,0.0018%,TOPIX Small 2
20260430,システムサポートホールディングス,4396,情報・通信業,0.0017%,TOPIX Small 2
20260430,ＡＤＥＫＡ,4401,化学,0.0291%,TOPIX Mid400
